rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,player,religiousness,expenditure,school,persons,games,f_other,n_other,deny,occupation
372,yes,50,male,single,-0.5835869,4.9,lower,yes,no,20,22,71, Júlio César,4,4273.993164,North Cow Creek Elementary,1,1,7,10,0,5
373,yes,50,male,single,-0.5835869,4.8,lower,yes,no,21,25,71,Ryan Dickson,4,5146.78418,Nevada City Elementary,4,1,7,10,0,5
374,yes,50,male,single,-0.5835869,4.7,lower,yes,no,23,26,71,Steven Sidwell,3,5351.522949,Jacoby Creek Elementary,1,1,4,6,0,6
375,yes,50,male,single,-0.5835869,4.8,lower,yes,no,19,22,71, Tiago,4,7667.571777,Fort Ross Elementary,4,3,9,13,0,1
376,yes,50,male,single,-0.5835869,4.9,lower,yes,no,20,26,71,Romain Genevois,3,5281.708984,Encinitas Union Elementary,4,1,7,10,0,5
377,yes,50,male,single,-0.5835869,4.8,lower,yes,no,17,20,71,Luis Suárez,1,5368.50293,Dixie Elementary,1,2,4,6,1,5
378,yes,50,male,single,-0.5835869,4.8,lower,yes,no,18,22,71,Grégory Sertić,4,6429.257324,Lakeside Joint Elementary,3,6,7,10,0,5
379,yes,50,male,single,-0.5835869,5.0,lower,yes,no,20,21,71,Christian Schulz,4,5387.458984,Hermosa Beach City Elementary,2,1,3,5,0,6
380,yes,50,male,single,-0.5835869,4.5,lower,yes,no,19,21,71, David Navarro,3,5235.774902,Rincon Valley Union Elementary,4,7,4,6,0,3
381,no,52,male,more,0.7566829,3.8,upper,yes,yes,46,65,72, Ramires,2,4829.896484,Washington Union Elementary,3,4,4,6,0,2
382,no,52,male,more,0.7566829,3.8,upper,yes,yes,39,62,72,Sébastien Puygrenier,2,5088.708008,Bennett Valley Union Elementary,1,9,3,5,0,5
383,no,52,male,more,0.7566829,3.8,upper,yes,yes,34,67,72,Pavel Pogrebnyak,5,5390.118164,Loma Prieta Joint Union Elemen,4,2,3,5,0,6
384,no,52,male,more,0.7566829,4.0,upper,yes,yes,29,40,72,John Utaka,3,6588.430664,Kenwood Elementary,4,8,3,5,0,6
385,no,52,male,more,0.7566829,4.2,upper,yes,yes,27,45,72,Youssuf Mulumbu,4,6196.694824,Liberty Elementary,2,1,3,5,0,5
386,no,51,male,more,0.8808186,4.5,lower,yes,yes,372,579,73, Azpilicueta,2,4645.413086,Knights Ferry Elementary,4,1,4,6,0,4
387,no,51,male,more,0.8808186,4.5,lower,yes,yes,343,537,73,Shola Ameobi,4,6489.928711,Kentfield Elementary,4,7,4,6,0,6
388,no,51,male,more,0.8808186,4.6,lower,yes,yes,380,581,73,Mathieu Debuchy,5,5094.958984,Ballard Elementary,3,15,7,10,0,4
389,no,51,male,more,0.8808186,4.7,lower,yes,yes,322,527,73,Ashkan Dejagah,2,4841.958496,Oak Grove Union Elementary,2,5,7,10,0,6
390,no,38,male,more,-0.5665014,4.1,lower,yes,yes,66,84,74,Takashi Usami,4,6315.3125,Ross Valley Elementary,2,3,7,10,0,6
391,no,38,male,more,-0.5665014,3.6,lower,yes,yes,40,79,74,Raphael Wolf,3,5399.383301,Mountain Elementary,4,1,7,10,0,6
392,no,38,male,more,-0.5665014,4.0,lower,yes,yes,60,92,74, Guly,4,5429.473633,Burlingame Elementary,2,2,4,6,0,5
393,no,47,female,more,0.3394037,3.4,lower,yes,yes,38,67,75,Aleksandar Stevanović,5,5644.286133,Grant Elementary,3,1,3,5,0,5
394,yes,43,female,more,-0.1513687,2.8,lower,yes,yes,93,190,76, Zé Castro,5,6060.256836,Happy Valley Elementary,3,1,3,5,0,4
395,no,38,female,more,-1.024997,4.1,lower,yes,no,36,60,77,Ragnar Klavan,4,5319.553711,Bonny Doon Union Elementary,1,1,7,10,0,5
396,no,38,female,more,-1.024997,3.5,lower,yes,no,29,64,77, Dani Alves,5,4819.903809,Walnut Creek Elementary,2,2,7,10,1,5
397,no,38,female,more,-1.024997,3.4,lower,yes,no,23,31,77,Branislav Ivanović,2,5208.226074,Hope Elementary,4,1,7,10,0,5
398,no,38,female,more,-1.024997,4.1,lower,yes,no,36,62,77, Busquets,4,5859.964844,Larkspur Elementary,3,1,3,5,0,7
399,no,38,female,more,-1.024997,4.2,lower,yes,no,30,37,77,Arnold Mvuemba,4,4962.736816,Cupertino Union Elementary,3,1,3,5,0,1
400,no,43,male,more,-0.0252444,4.3,lower,yes,yes,8,13,78,Glenn Whelan,5,7614.379395,Pacific Elementary,2,1,7,10,0,5
401,no,43,male,more,-0.0252444,4.1,upper,yes,yes,12,15,78,Jens Hegeler,5,5566.467773,Los Gatos Union Elementary,1,1,4,6,0,4
402,no,43,male,more,-0.0252444,3.4,upper,yes,yes,65,79,78,Bakary Koné,2,7039.949219,Montecito Union Elementary,2,4,7,10,0,1
403,no,57,male,more,-0.7467875,3.5,upper,yes,yes,53,98,79,Ian Harte,5,6604.063965,Solana Beach Elementary,1,1,7,10,0,5
404,no,57,male,more,-0.7467875,3.6,upper,yes,yes,58,97,79,Mathias Autret,4,6180.148926,Menlo Park City Elementary,2,1,7,10,0,5
405,no,51,female,more,0.9889485,3.7,upper,yes,yes,67,78,80,Victor Moses,2,6460.657227,Reed Union Elementary,3,1,7,10,0,1
406,no,51,female,more,0.9889485,3.0,upper,yes,yes,36,56,80, Azpilicueta,2,6415.35498,Mill Valley Elementary,1,7,7,10,0,7
407,no,51,female,more,0.9889485,4.6,upper,yes,yes,17,20,80,Tony Jantschke,3,5230.876953,Lafayette Elementary,2,3,9,13,0,5
408,no,45,male,single,-0.5324199,4.0,lower,yes,no,17,20,81,Federico Macheda,4,5838.171875,Del Mar Union Elementary,3,1,9,13,0,1
409,no,45,male,more,-0.5324199,4.8,lower,yes,no,13,19,81, Jesús Vázquez,5,7711.506836,Woodside Elementary,1,1,4,6,0,1
410,no,45,male,single,-0.5324199,4.6,lower,yes,no,19,26,81,Philippe Senderos,2,5592.765137,Moraga Elementary,4,3,7,10,0,4
411,no,57,male,more,-0.7668921,3.4,lower,yes,yes,12,18,82,Julien Quercia,2,5933.154297,Orinda Union Elementary,3,1,3,5,1,3
412,no,57,male,more,-0.7668921,4.4,lower,yes,yes,12,12,82,Alex Smith,4,7593.405762,Hillsborough City Elementary,1,1,3,5,0,6
413,no,57,male,more,-0.7668921,3.6,lower,yes,yes,16,19,82,Ludovic Obraniak,4,6500.449707,Cold Spring Elementary,3,12,3,5,1,4
414,no,57,male,more,-0.7668921,3.8,lower,yes,yes,12,16,82,Brett Williams,2,7217.263184,Portola Valley Elementary,4,2,7,10,1,4
415,no,57,male,more,-0.7668921,3.7,lower,yes,yes,14,16,82,Cristian Álvarez,3,5392.638672,Saratoga Union Elementary,4,1,4,6,0,1
416,no,57,male,more,-0.7668921,4.7,lower,yes,yes,11,12,82,Gabriel Tamaş,2,7290.338867,Las Lomitas Elementary,1,1,3,5,0,7
417,no,57,male,more,-0.7668921,4.5,lower,yes,yes,15,17,82,Vadim Demidov,2,5741.462891,Los Altos Elementary,4,1,3,5,0,6
418,no,57,male,more,-0.7668921,5.0,upper,yes,yes,6,15,82,Éric Abidal,2,4402.831543,Somis Union Elementary,3,2,7,10,0,3
419,no,57,male,more,-0.7668921,3.8,lower,yes,yes,15,16,82,Karim Haggui,2,4776.336426,Plumas Elementary,3,3,9,13,0,4
420,no,57,male,more,-0.7668921,4.1,lower,yes,yes,12,17,82,Artur Sobiech,2,5993.392578,Wheatland Elementary,4,1,4,6,0,6
421,no,47,female,single,1.154256,4.3,lower,yes,no,15,17,83,Ali Mmadi,4,6384.911133,Sunol Glen Unified,3,1,7,10,1,2
422,no,47,female,single,1.154256,4.4,lower,yes,no,10,10,83,Peguy Luyindula,4,5099.380859,Manzanita Elementary,2,2,3,5,0,6
423,no,47,female,single,1.154256,4.7,lower,yes,no,16,17,83,Stelios Malezas,4,5501.95459,Thermalito Union Elementary,4,6,3,5,1,6
424,no,47,female,more,1.154256,3.9,lower,yes,no,15,17,83,René Adler,2,7101.831055,Golden Feather Union Elementary,2,1,4,6,0,2
425,yes,54,female,more,1.232602,4.8,lower,yes,yes,15,16,84, Sílvio,2,5235.987793,Palermo Union Elementary,4,3,3,5,0,6
426,yes,54,female,more,1.232602,4.3,lower,yes,yes,21,26,84,Djiby Fall,3,5580.146973,Burrel Union Elementary,2,2,7,10,0,1
427,yes,54,female,more,1.232602,4.6,lower,yes,yes,14,18,84,Patrick Owomoyela,2,5253.331055,Holt Union Elementary,2,1,3,5,0,1
428,yes,54,female,more,1.232602,3.8,lower,yes,yes,16,20,84,Eugen Polanski,3,4565.746094,Vineland Elementary,1,3,9,13,0,1
429,no,58,male,more,1.774334,5.0,lower,yes,no,21,21,85,Marco Reus,1,5355.54834,Orange Center Elementary,2,1,3,5,0,3
430,no,58,male,more,1.774334,4.9,lower,yes,no,18,21,85, Jordi Codina,2,5036.211426,Del Paso Heights Elementary,1,4,7,10,0,1
431,no,58,male,more,1.774334,4.6,lower,yes,no,17,20,85, Manquillo,3,4547.692383,Le Grand Union Elementary,3,1,7,10,0,6
432,no,58,male,more,1.774334,4.6,lower,yes,no,19,20,85,Ryan Bertrand,4,5447.345215,West Fresno Elementary,2,1,4,6,0,5
433,no,58,male,more,1.774334,5.0,lower,yes,no,11,13,85,Adil Rami,3,6567.149414,Allensworth Elementary,2,7,9,13,0,6
434,no,58,male,more,1.774334,4.6,lower,yes,no,14,16,85,Anthony Réveillère,3,4818.612793,Sunnyside Union Elementary,2,1,7,10,0,4
435,no,58,male,more,1.774334,4.9,lower,yes,no,16,17,85, Lucas Piazon,2,5621.456055,Woodville Elementary,3,1,4,6,1,6
436,no,42,male,more,1.773151,4.0,lower,yes,yes,22,24,86,Fabrice Begeorgi,2,6026.359863,Pixley Union Elementary,4,2,7,10,0,6
437,no,42,male,more,1.773151,3.9,upper,yes,yes,17,20,86,Anthony Modeste,4,6723.237793,Lost Hills Union Elementary,3,2,3,5,0,5
438,no,33,male,more,0.7245926,4.1,lower,yes,yes,67,155,87,Alexander Esswein,2,5589.885254,Buttonwillow Union Elementary,3,1,4,6,0,5
439,no,62,male,more,-1.181626,2.9,lower,yes,yes,28,70,88,François Clerc,4,5064.615723,Lennox Elementary,4,1,4,6,0,1
440,no,62,male,more,-1.181626,2.8,lower,yes,yes,61,149,88,Sylvain Marchal,2,5433.593262,Lamont Elementary,2,2,3,5,0,6
441,no,62,male,more,-1.181626,2.8,lower,yes,yes,49,137,88,Djibril Cissé,4,5725.563477,Westmorland Union Elementary,3,1,3,5,0,6
442,no,62,male,more,-1.181626,4.0,upper,yes,yes,13,29,88,Christopher Nöthe,5,4542.10498,Pleasant View Elementary,1,3,3,5,0,5
443,no,62,male,more,-1.181626,3.3,lower,yes,yes,28,55,88,Nemanja Vidić,4,5107.086426,Wasco Union Elementary,1,1,3,5,0,2
444,no,62,male,more,-1.181626,3.0,lower,yes,yes,67,136,88,Niklas Bolten,2,4659.661621,Alta Vista Elementary,1,2,4,6,0,3
445,yes,35,female,more,1.769452,3.6,lower,yes,yes,20,60,89, Mattioni,3,4555.464355,Livingston Union Elementary,2,1,4,6,0,1
446,yes,35,female,more,1.769452,3.8,lower,yes,yes,43,108,89, David Cobeño,1,5415.152832,Woodlake Union Elementary,2,1,7,10,0,6
447,no,61,male,more,-0.5872612,3.9,lower,yes,yes,13,15,90,Yoan Gouffran,1,4997.871582,Alisal Union Elementary,1,6,7,10,0,5
448,no,52,female,more,-0.0018324,4.7,lower,yes,yes,14,17,91,Timo Hildebrand,3,5223.912109,Arvin Union Elementary,3,1,7,10,0,5
449,no,52,female,more,-0.0018324,4.7,lower,yes,yes,19,19,91,Alexis Sánchez,3,5139.164551,Terra Bella Union Elementary,4,2,7,10,0,6
450,no,60,female,more,-0.0566766,3.9,upper,no,yes,18,19,92,Claudio Pizarro,2,4614.251953,Tipton Elementary,2,1,4,6,0,5
451,no,60,female,more,-0.0566766,4.4,upper,no,yes,11,13,92,Amin Younes,5,5342.233398,San Ysidro Elementary,2,1,3,5,0,6
452,no,60,female,more,-0.0566766,3.6,upper,no,yes,18,19,92, Gavilán,4,5347.458496,Soledad Unified,2,7,3,5,0,5
453,no,60,female,more,-0.0566766,4.2,upper,no,yes,11,22,92,Daniel Van Buyten,3,5036.458984,Mountain View Elementary,1,1,7,10,1,5
454,no,60,female,more,-0.0566766,3.4,upper,no,yes,7,20,92,Éric Abidal,4,5117.141602,King City Union Elementary,2,1,7,10,0,6
455,no,60,female,more,-0.0566766,4.0,upper,no,yes,24,27,92,Yannick Sagbo,5,5117.039551,Ontario-Montclair Elementary,4,7,7,10,0,5
456,no,32,male,more,1.231394,4.2,lower,yes,yes,111,127,93,Sam Johnstone,5,5272.191895,Los Nietos Elementary,3,2,3,5,0,1
457,no,32,male,more,1.231394,4.4,upper,yes,yes,62,85,93,Alejandro Domínguez,5,5225.719238,Winton Elementary,4,4,3,5,0,4
458,no,32,male,more,1.231394,4.5,lower,yes,yes,76,101,93,Anton Putsila,4,6516.533203,Raisin City Elementary,4,1,7,10,0,1
459,no,32,male,more,1.231394,3.2,lower,yes,yes,9,21,93,Daniel Didavi,4,4559.176758,Ravenswood City Elementary,1,3,4,6,1,6
460,no,32,male,more,1.231394,4.3,upper,yes,yes,52,86,93,Wilson Palacios,2,5119.158203,Richland-Lerdo Union Elementary,1,1,7,10,0,6
461,yes,42,female,more,0.4203998,3.3,upper,no,yes,52,67,94, Miranda,5,5338.185547,Oxnard Elementary,1,10,7,10,0,1
462,yes,42,female,more,0.4203998,3.2,upper,no,yes,54,66,94,Charlie Adam,2,5090.044922,El Nido Elementary,1,3,7,10,0,6
463,yes,42,female,single,0.4203998,4.1,lower,no,yes,28,35,94,Marc Hornschuh,2,5485.496094,Fairfax Elementary,1,3,7,10,1,5
