rownames,district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math,player,religiousness,source,name,persons,games,f_other,n_other,allstudents,occupation
255,70508,Yreka Union Elementary,Siskiyou,KK-08,1212,68.65000153,18.29719925,47.12469864,107,5475.172852,12.51799965,2.062706232,660.4000244,659.4000244,Craig Dawson,4,MWR,Bonnie,1,2,3,5,66,6
256,70599,Alexander Valley Union Elementary,Sonoma,KK-06,119,7.0,4.0,33.59999847,23,5990.794434,18.32600021,28.57143021,661.7000122,658.4000244,Korey Smith,4,MWR,Earl,4,1,7,10,50,1
257,66415,Twin Ridges Elementary,Nevada,KK-08,590,35.76250076,7.796599865,30.6779995,78,7203.246582,11.4659996,0.1694915295,673.0999756,647.0999756,Zdravko Kuzmanović,2,MWR,Georges,3,1,7,10,48,5
258,72173,Sundale Union Elementary,Tulare,KK-08,546,27.60000038,13.91940022,54.76190186,60,4777.769043,10.09799957,13.73626423,659.7999878,660.5999756,Matthew Upson,4,MWR,Bret,4,4,4,6,79,5
259,72207,Three Rivers Union Elementary,Tulare,KK-08,248,11.11999989,7.46269989,21.26869965,51,4302.834961,15.36499977,0.0,667.7999878,652.7999878,Danny Fox,3,MWR,Floyd,3,3,9,13,28,5
260,72348,Columbia Union Elementary,Tuolumne,KK-08,461,26.0,14.4708004,48.81209946,150,5630.194824,10.3113327,0.21691975,666.9000244,654.5999756,Zdravko Kuzmanović,5,MWR,Irene,1,7,7,10,44,7
261,65102,Westside Union Elementary,Los Angeles,KK-08,6312,308.6799927,9.837900162,22.69300079,496,4708.625,16.98662567,3.121039391,662.0999756,659.7999878,Niklas Dams,3,MWR,Lili,4,3,4,6,92,1
262,65649,Ballico-Cressey Elementary,Merced,KK-08,285,13.98999977,7.241399765,66.20690155,62,5629.961426,9.612000465,47.36842346,661.0999756,661.5999756,Etienne Didot,2,MWR,Claudette,3,15,7,10,56,5
263,68973,Millbrae Elementary,San Mateo,KK-08,2325,115.3000031,2.881700039,15.6559,302,4890.986816,21.11050034,22.70967865,662.0,660.9000244,Nikolče Noveski,4,MWR,Isabel,3,2,3,5,21,6
264,69435,Evergreen Elementary,Santa Clara,KK-08,11885,549.8400269,10.19769955,30.44169998,1790,4929.393066,16.47331238,29.12074089,659.0999756,664.0999756, Samuel,3,MWR,Alex,3,5,4,6,43,4
265,70730,Harmony Union Elementary,Sonoma,KK-08,564,27.43000031,6.89659977,21.37929916,46,4905.221191,18.36899948,4.43262434,672.4000244,650.7999878, Yannick Djaló,2,MWR,Charley,1,1,4,6,12,1
266,63362,Panama Buena Vista Union Elementary,Kern,KK-08,12380,620.3800049,12.29520035,31.01889992,1671,5156.856934,16.65411186,4.814216614,660.0999756,663.5999756,Fabian Delph,2,MWR,Frances,1,4,3,5,137,5
267,68932,Laguna Salada Union Elementary,San Mateo,KK-08,3772,178.0599976,3.371999979,18.38780022,529,4941.787598,18.54422188,5.249204636,665.4000244,658.2999878,Hogan Ephraim,3,MWR,Gaston,4,2,3,5,65,5
268,72371,Sonora Elementary,Tuolumne,KK-08,895,47.58000183,17.55319977,42.44680023,70,5408.781738,14.18000031,1.899441361,662.7000122,661.0,Gonzalo Castro,1,MWR,Ivan,3,15,3,5,79,3
269,66910,Roseville City Elementary,Placer,KK-08,5714,277.6700134,10.53429985,30.06909943,489,4981.387695,18.02955437,8.66293335,664.2999878,659.5,James Shea,5,MWR,Jeanne,2,1,3,5,88,6
270,71084,Gratton Elementary,Stanislaus,KK-08,105,5.730000019,0.0,0.0,16,4877.086426,13.58600044,10.47619057,662.5,661.2999878,Laurent Koscielny,4,MWR,Cindy,3,7,4,6,292,1
271,64196,Susanville Elementary,Lassen,KK-08,1449,76.98999786,16.5279007,42.60089874,125,5111.739258,12.64000034,1.242236018,660.4000244,663.5,Rémi Gomis,5,MWR,Dennis,4,1,4,6,25,5
272,69872,Bella Vista Elementary,Shasta,KK-08,510,24.5,20.39220047,45.88240051,95,5201.515625,11.10299969,0.0,663.0999756,661.7000122, Xavi,4,uri,Katrina,4,16,7,10,32,1
273,71852,Columbine Elementary,Tulare,KK-08,160,8.0,11.25,56.875,39,4138.305664,7.5,9.375,651.4000244,673.4000244,Pablo Zabaleta,2,MWR,Ophelia,2,6,7,10,17,5
274,64626,Hughes-Elizabeth Lakes Union Elementary,Los Angeles,KK-08,433,22.0,9.336099625,25.10370064,50,5743.597168,15.50599957,1.385681391,665.4000244,659.5,Mapou Yanga-Mbiwa,3,MWR,Rita,2,1,7,10,27,5
275,69591,Mountain View Elementary,Santa Clara,KK-08,3186,164.3099976,5.45389986,44.39070129,411,5702.705078,22.84140015,35.34212112,663.5,661.5,Wojciech Szczęsny,4,MWR,Wilma,3,2,7,10,15,1
276,65045,Sulphur Springs Union Elementary,Los Angeles,KK-06,5010,239.3999939,5.298900127,27.35449982,576,4802.152832,19.82312584,9.64071846,661.7000122,663.4000244,Sam Johnstone,4,MWR,Humberto,2,1,4,6,103,4
277,70680,Forestville Union Elementary,Sonoma,KK-08,717,35.95000076,8.888899803,24.72220039,100,5442.143066,16.34700012,2.231520176,669.4000244,655.7000122, Xavi,3,MWR,Dolly,4,1,3,5,12,5
278,63750,Rosedale Union Elementary,Kern,KK-08,3548,170.6499939,3.25999999,14.8508997,335,4522.375488,16.29299927,0.3664036095,658.2999878,667.0,Michael Keane,2,MWR,Gustav,2,1,3,5,13,4
279,69948,Columbia Elementary,Shasta,KK-08,868,45.20000076,16.58989906,29.83869934,78,4965.808105,13.24800014,0.5760368705,662.4000244,663.0, Iniesta,4,MWR,Ike,1,2,7,10,37,3
280,66795,Colfax Elementary,Placer,KK-08,507,26.64999962,13.20390034,37.08739853,60,5358.326172,14.01000023,0.0,667.0999756,658.4000244,Jaroslav Plašil,1,MWR,Irene,4,3,7,10,23,5
281,70425,Mt. Shasta Union Elementary,Siskiyou,KK-08,822,46.65000153,8.073800087,25.60549927,105,5784.625,14.16300011,0.8515815139,668.2999878,657.5, Cala,2,MWR,Isaac,1,1,7,10,19,5
282,70870,Piner-Olivet Union Elementary,Sonoma,KK-06,1792,88.55000305,3.125,20.92630005,143,5072.70459,15.77099991,5.524553776,667.4000244,659.2999878,Antonio Rüdiger,5,MWR,Sandy,3,1,3,5,16,6
283,65185,Bass Lake Joint Elementary,Madera,KK-08,1202,62.29999924,12.07689953,35.84619904,190,5556.041016,14.48333263,0.0,664.2999878,662.5999756,David Meyler,1,MWR,Easy,4,1,3,5,14,5
284,62745,Cutten Elementary,Humboldt,KK-06,515,27.35000038,16.11650085,26.21360016,58,5190.310059,14.20899963,0.0,660.2000122,666.7999878,Sven Schipplock,4,MWR,King,4,1,7,10,272,3
285,61952,Placerville Union Elementary,El Dorado,KK-08,1354,66.56999969,12.0383997,36.48450089,263,5211.485352,15.16699982,2.437223196,666.4000244,661.2999878,Alex Oxlade-Chamberlain,5,MWR,Able,1,5,4,6,41,1
286,71035,Wright Elementary,Sonoma,KK-06,1252,65.11000061,9.451199532,43.21649933,113,5284.164063,12.58425045,20.76677322,659.4000244,668.2999878,Alexander Tettey,5,MWR,Barbara,2,1,7,10,80,1
287,71522,Evergreen Union Elementary,Tehama,KK-08,823,46.0,13.85179996,55.28549957,127,5331.920898,10.55099964,2.187120438,657.7000122,670.0999756,Gabriel Torje,2,MWR,Florence,2,2,7,10,64,6
288,70847,Old Adobe Union Elementary,Sonoma,KK-06,2231,114.3000031,2.916100025,13.36919975,258,5599.60791,16.95599937,13.62617588,666.2000122,661.7999878, José Enrique,1,MWR,Carol,4,9,7,10,22,3
289,71019,Wilmar Union Elementary,Sonoma,KK-06,271,14.19999981,4.467400074,25.42959976,81,4881.899414,17.70899963,13.28413296,668.7000122,659.2999878,Anthony Martial,4,MWR,Edna,3,1,7,10,11,1
290,66761,Ackerman Elementary,Placer,KK-08,309,15.5,4.207099915,32.68610001,85,4700.432129,16.27199936,1.941747546,671.2999878,657.0,Federico Macheda,2,MWR,Hazel,4,1,7,10,20,5
291,69815,Santa Cruz City Elementary,Santa Cruz,KK-06,3005,159.2200012,8.619000435,33.81029892,308,5650.0,17.9008007,23.0615654,666.7000122,661.5999756,Karim Haggui,2,MWR,Connie,1,1,9,13,43,5
292,62679,Arcata Elementary,Humboldt,KK-08,966,47.95999908,20.95809937,47.30540085,114,5318.240723,11.83399963,0.6211180091,674.0,654.5999756,Aaron Hughes,5,MWR,Diane,4,2,9,13,40,3
293,67595,Alta Loma Elementary,San Bernardino,KK-08,7710,327.2999878,4.472199917,15.92990017,814,4709.054199,18.6201992,3.255512238,663.4000244,665.4000244,William Kvist,3,MWR,Ione,3,1,4,6,44,4
294,66837,Foresthill Union Elementary,Placer,KK-08,762,35.5,10.8107996,30.37319946,54,5143.19043,12.43099976,0.0,663.0999756,665.7999878, Arana,4,MWR,Flossy,4,1,7,10,100,5
295,61929,Mother Lode Union Elementary,El Dorado,KK-08,1708,89.0,8.489500046,29.03980064,206,5133.009766,15.16699982,2.224824429,665.5,663.9000244, Puyol,4,uri,Audrey,4,1,3,5,190,1
296,66613,Ocean View Elementary,Orange,KK-08,9850,489.2999878,3.335000038,30.64369965,1113,5081.455566,20.87574959,18.55837631,663.7000122,665.7999878,Jonny Evans,5,MWR,Helene,1,2,3,5,40,5
297,62596,Lake Elementary,Glenn,KK-08,129,5.0,9.302300453,50.38759995,10,4016.41626,10.63899994,6.201550484,667.5999756,662.2999878, José Enrique,3,MWR,Debra,2,11,3,5,37,5
298,69039,San Mateo-Foster City Elementary,San Mateo,KK-08,10619,565.5100098,2.538399935,28.37660027,1150,5374.050293,25.02961922,18.45748138,665.9000244,664.0,Ludovic Giuly,2,MWR,Gracie,1,1,7,10,27,5
299,69195,Goleta Union Elementary,Santa Barbara,KK-06,4521,236.5800018,3.705199957,31.08279991,494,5427.548828,16.75780106,32.07255173,666.7999878,663.4000244, Thiago Motta,1,http://www.nhc.noaa.gov/pdf/NWS-TPC-5.pdf,Donna,2,3,4,6,20,4
300,67736,Helendale Elementary,San Bernardino,KK-08,580,29.44000053,11.89659977,30.17239952,114,5179.644531,15.29699993,3.965517044,656.2000122,674.2000122, Bosingwa,2,MWR,Ethel,2,2,3,5,11,5
301,70854,Petaluma City Elementary,Sonoma,KK-06,2569,138.0,5.486400127,24.74710083,326,5400.0,17.3694458,15.33670712,669.7999878,660.9000244,Dan Gosling,2,MWR,Carla,2,2,3,5,38,1
302,69690,Sunnyvale Elementary,Santa Clara,KK-08,6022,286.7999878,6.394999981,36.0007019,756,5726.146484,22.09600067,27.66522789,663.9000244,667.4000244,Tino Costa,2,MWR,Cindy,2,1,7,10,18,4
303,69179,College Elementary,Santa Barbara,KK-08,670,33.5,0.4160999954,13.8696003,47,5003.870117,22.84199905,12.53731441,670.2999878,661.5,Benjamin Uphoff,3,MWR,Cleo,4,1,9,13,26,6
304,68197,La Mesa-Spring Valley,San Diego,KK-08,14708,700.9400024,13.53009987,45.72340012,1962,4969.51123,18.31987572,12.68017483,664.5,667.4000244,Ashkan Dejagah,4,MWR,Dora,2,1,4,6,19,6
305,66530,Huntington Beach City Elementary,Orange,KK-08,6601,305.0,1.196799994,15.08860016,706,4747.295898,25.03000069,6.908044338,668.0,664.0,Emanuel Pogatetz,3,MWR,Hilda,3,1,7,10,26,6
306,69336,Solvang Elementary,Santa Barbara,KK-08,675,33.70000076,0.0,31.8519001,87,4543.305176,21.95700073,14.96296215,668.7000122,663.4000244, Lafita,4,MWR,Isbell,1,5,3,5,40,2
307,69849,Soquel Elementary,Santa Cruz,KK-08,2458,124.0699997,6.018700123,24.60350037,193,5229.591309,18.79683304,11.26932526,666.9000244,665.2999878,Guy Demel,3,MWR,Betsy,1,1,3,5,55,3
308,62554,Capay Joint Union Elementary,Glenn,KK-08,144,8.0,4.166699886,44.44440079,14,4507.353027,10.63899994,9.722222328,671.9000244,660.4000244,Mesut Özil,4,MWR,Alma,1,10,4,6,134,1
309,70714,Gravenstein Union Elementary,Sonoma,KK-08,573,29.60000038,6.993000031,15.20979977,48,5302.62793,17.50799942,3.315881252,671.0,661.2999878,Ricardo Faty,5,MWR,Inez,4,2,3,5,33,6
310,66381,Pleasant Valley Elementary,Nevada,KK-08,721,35.72999954,1.849400043,18.49410057,82,5545.610352,18.59300041,0.6934812665,668.7999878,664.0999756,Timmy Simons,4,MWR,Beulah,1,2,7,10,20,5
311,63990,Pioneer Union Elementary,Kings,KK-08,992,46.97000122,3.729799986,22.88310051,160,4615.908691,11.11600018,5.141129017,671.2000122,661.9000244,Simon Rolfes,2,MWR,Gladys,2,2,3,5,14,5
312,68361,Santee Elementary,San Diego,KK-08,8432,360.5,6.392300129,22.98390007,0,5397.689453,14.09766674,4.969165325,663.7000122,669.5,Carl Medjani,2,MWR,Camille,2,2,9,13,157,5
313,64113,Johnstonville Elementary,Lassen,KK-08,244,11.0,15.57380009,40.16389847,15,5118.373047,12.64000034,6.967213154,672.0999756,661.2000122, Santi Cazorla,4,WIKI (http://en.wikipedia.org/wiki/Hurricane_Celia),Celia,2,13,3,5,21,6
314,72553,Pleasant Valley Elementary,Ventura,KK-08,7116,356.8200073,2.598999977,13.27620029,785,5008.070801,20.93642807,7.99606514,667.5,665.7999878, Miguel Torres,2,MWR,Edith,4,2,7,10,125,6
315,72355,Curtis Creek Elementary,Tuolumne,KK-08,830,46.65999985,10.41189957,32.6086998,95,4906.030273,14.18000031,0.4819277227,662.0999756,671.2999878,Szabolcs Huszti,5,MWR,Fern,4,6,7,10,77,1
316,70300,Fort Jones Union Elementary,Siskiyou,KK-06,160,10.88000011,13.37580013,53.50320053,38,6870.346191,11.82600021,2.5,666.9000244,666.7999878,Micah Richards,5,MWR,Ginger,1,1,4,6,26,6
317,70805,Mark West Union Elementary,Sonoma,KK-06,1588,83.40000153,6.798500061,20.58099937,220,5301.716309,18.67099953,3.841310024,671.2999878,662.4000244,Phil Jagielka,5,MWR,Agnes,1,3,9,13,78,4
318,67967,Alpine Union Elementary,San Diego,KK-08,2272,108.75,4.049300194,16.06509972,307,5182.365723,17.33200073,1.32042253,667.7000122,666.5999756,Steeve Yago,1,MWR,Carmen,3,2,7,10,52,5
319,70938,Sebastopol Union Elementary,Sonoma,KK-08,1425,71.83000183,5.092599869,19.8302002,65,4999.46875,17.50799942,4.91228056,669.7999878,664.5999756,Loris Néry,2,MWR,Eloise,1,1,4,6,29,5
320,62828,Freshwater Elementary,Humboldt,KK-06,245,12.55000019,8.979599953,13.06120014,30,6732.066406,15.57199955,0.0,672.2000122,662.7000122,Sven Ulreich,3,MWR,Belle,2,2,7,10,51,6
321,63693,Norris Elementary,Kern,KK-08,1349,65.21250153,2.001499891,8.673100471,259,4612.989746,15.56725025,0.2223869562,667.0,667.9000244,Robert Green,4,MWR,Babe,3,3,3,5,10,2
322,72132,Springville Union Elementary,Tulare,KK-08,400,22.0,13.80090046,29.86429977,65,5478.845703,15.75199986,0.0,669.2000122,666.0,Brad Guzan,1,MWR,Bob,4,2,4,6,15,6
323,69575,Moreland Elementary,Santa Clara,KK-08,4632,245.1799927,7.037000179,23.6420002,637,5666.713867,20.46999931,17.85405922,669.4000244,666.5999756, Labaka,4,MWR,David,4,8,4,6,57,5
324,63610,Maple Elementary,Kern,KK-08,224,9.0,5.35710001,35.26789856,15,4742.51416,9.708999634,4.464285851,660.5,675.7000122,Andrey Arshavin,2,MWR,Frederic,3,3,3,5,39,7
325,63941,Kings River-Hardwick Union Elementary,Kings,KK-08,576,31.0,3.993099928,28.125,92,4907.392578,11.11600018,9.548611641,665.7999878,671.0,Anthony Martial,1,MWR,Allen,1,1,3,5,45,1
326,68163,Julian Union Elementary,San Diego,KK-08,451,25.0,8.647500038,11.7517004,75,5700.402344,16.32099915,3.991130829,672.7000122,664.5,Radamel Falcao,3,MWR,Alicia,2,2,3,5,48,4
327,68007,Cardiff Elementary,San Diego,KK-06,900,50.75,2.101799965,24.3362999,145,5191.834473,21.96699905,20.66666603,668.7999878,668.5, Diego Costa,5,MWR,Diana,3,8,3,5,26,4
328,72108,Saucelito Elementary,Tulare,KK-08,118,5.5,8.333299637,51.66669846,10,4451.256836,8.934000015,7.627118587,668.5,669.0999756,Sylvio Rodelin,2,MWR,Bob,1,6,4,6,15,1
329,67975,Bonsall Union Elementary,San Diego,KK-08,1457,73.12999725,5.982299805,42.9640007,0,5627.527832,19.99699974,27.45367241,666.2000122,671.5999756, Nani,4,MWR,Danny,2,10,4,6,27,3
330,66480,Cypress Elementary,Orange,KK-06,4734,232.75,2.607800007,19.37249947,586,4922.939941,18.82723045,10.85762596,665.5,672.4000244,Kevin Pannewitz,4,MWR,Elena,4,2,7,10,14,1
331,64766,Lowell Joint Elementary,Los Angeles,KK-08,3303,146.5,4.662399769,16.95429993,379,4969.380859,18.1186657,5.025733948,666.0999756,672.0999756, Kaká,3,MWR,Gloria,4,7,7,10,62,5
332,64832,Newhall Elementary,Los Angeles,KK-06,6055,286.9200134,5.613399982,30.08510017,540,4829.717285,23.66737556,14.23616886,668.9000244,669.7000122,Timm Klose,3,MWR,Juan,2,3,7,10,45,1
333,65359,Lagunitas Elementary,Marin,KK-08,424,23.29999924,3.537699938,15.3302002,39,6716.692871,22.13899994,0.2358490527,680.9000244,657.7000122,Ángelo Henríquez,1,MWR,Kate,3,1,7,10,19,5
334,69385,Cambrian Elementary,Santa Clara,KK-08,2801,139.3000031,5.033899784,23.09889984,615,5205.941895,20.54599953,2.070688963,673.2999878,665.4000244,Renato Civelli,4,MWR,Bonnie,1,1,4,6,44,1
335,71654,Richfield Elementary,Tehama,KK-08,187,9.760000229,17.55319977,44.68090057,37,4357.826172,9.484999657,8.556149483,664.5999756,674.0999756,Sebastian Freis,3,MWR,Charley,1,5,3,5,24,4
336,62794,Fieldbrook Elementary,Humboldt,KK-08,129,6.599999905,13.95349979,27.1317997,17,5195.918945,11.83399963,0.0,670.0999756,669.5,Artjoms Rudņevs,4,MWR,Floyd,3,3,3,5,16,4
337,68049,Dehesa Elementary,San Diego,KK-06,188,9.0,6.382999897,36.70209885,41,6002.071777,18.79899979,4.787234306,673.2000122,666.5,Kieran Richardson,4,MWR,Florence,4,1,7,10,29,6
338,69955,Cottonwood Union Elementary,Shasta,KK-08,1212,65.90000153,22.19470024,46.12210083,116,5090.587891,10.55099964,3.960396051,669.2000122,670.7000122,Mathieu Bodmer,4,MWR,Chantal,1,1,7,10,19,6
339,63479,Fruitvale Elementary,Kern,KK-08,2596,135.3500061,3.004600048,19.53000069,249,5112.390137,15.51900005,1.579352856,669.2000122,670.7999878,Maximilian Beister,3,MWR,Hugo,4,1,7,10,246,1
340,69708,Union Elementary,Santa Clara,KK-08,4925,253.8959961,3.821099997,12.17479992,753,5287.35498,21.63172722,3.593908548,672.7999878,668.5999756,Radek Černý,4,MWR,Jerry,3,2,3,5,39,1
341,66498,Fountain Valley Elementary,Orange,KK-08,6257,288.6300049,2.163500071,15.51280022,930,4889.47998,21.09575081,8.726226807,671.2000122,671.2999878,Stephen Warnock,1,MWR,Bob,3,10,3,5,20,6
342,61879,Gold Oak Union Elementary,El Dorado,KK-08,868,45.0,4.723499775,19.00919914,122,5118.130371,15.16699982,0.0,674.5999756,668.0,Nelson Valdez,1,MWR,Andrew,2,1,7,10,50,5
343,61838,Buckeye Union Elementary,El Dorado,KK-08,3787,186.1000061,3.247999907,8.34430027,934,5119.123047,19.11700058,0.2640612721,674.9000244,668.2999878, Roberto Lago,2,MWR,Emily,3,10,4,6,12,5
344,75085,Rocklin Unified,Placer,KK-08,6423,306.3800049,2.929899931,14.26599979,855,4792.211426,17.62000084,1.447921515,671.4000244,671.7999878, Valerón,4,MWR,Erin,2,3,7,10,17,6
345,61887,Gold Trail Union Elementary,El Dorado,KK-08,678,34.84000015,2.507400036,15.92920017,47,5450.103516,15.16699982,0.1474926174,677.5999756,665.7000122, Doni,2,MWR,Opal,4,1,7,10,16,1
346,62885,Hydesville Elementary,Humboldt,KK-08,162,8.399999619,16.95910072,33.91809845,23,5210.724609,10.64299965,0.0,679.7999878,663.5999756,Ibrahima Traoré,1,MWR,Bertha,3,1,7,10,10,5
347,64998,Saugus Union Elementary,Los Angeles,KK-06,8529,407.7000122,2.192500114,11.70129967,834,4715.445801,20.73905563,3.705006361,668.9000244,674.5999756, Simão,4,MWR,Fran,4,3,7,10,14,1
348,66845,Loomis Union Elementary,Placer,KK-08,1862,89.08999634,2.829699993,21.08919907,231,4632.068359,21.56599998,0.2685284615,673.0999756,670.7000122,Ivan Klasnić,1,MWR,Danny,4,1,7,10,20,3
349,66886,Placer Hills Union Elementary,Placer,KK-08,1452,70.5,2.426000118,10.41419983,183,5028.561523,17.65600014,0.0,679.5999756,664.2000122,Kevin Vogt,3,MWR,Bonnie,2,2,9,13,199,5
350,70672,Dunham Elementary,Sonoma,KK-06,155,8.0,0.6452000141,12.25809956,32,5695.466797,17.70899963,4.516129017,672.2999878,671.5999756,Jay Rodriguez,5,MWR,Earl,4,9,9,13,64,3
351,69021,San Carlos Elementary,San Mateo,KK-08,2536,127.1100006,2.032799959,2.032799959,343,4504.294922,27.81599998,2.444794893,676.0999756,668.0,Paul Verhaegh,4,MWR,Georges,1,12,4,6,29,6
352,66399,Ready Springs Union Elementary,Nevada,KK-08,567,30.07999992,4.895100117,29.02099991,103,5156.437012,18.59300041,0.0,673.9000244,670.2000122, Bosingwa,2,MWR,Bret,2,1,7,10,88,5
353,65219,Coarsegold Union Elementary,Madera,KK-08,953,52.59999847,7.98759985,33.9211998,135,5433.51416,14.26299953,0.0,668.0999756,676.5,Lasse Sobiech,4,MWR,Floyd,4,2,3,5,15,5
354,68726,Cayucos Elementary,San Luis Obispo,KK-08,296,15.43000031,5.592100143,25.98679924,42,5254.631836,22.75799942,5.405405521,674.5999756,670.0999756, Jonas,5,MWR,Irene,3,2,3,5,33,4
355,64170,Richmond Elementary,Lassen,KK-08,198,9.0,2.450999975,12.74510002,24,4593.196777,12.64000034,0.0,672.7000122,672.2000122, João Victor,1,MWR,Lili,2,2,3,5,29,6
356,62109,Clay Joint Elementary,Fresno,KK-08,218,10.10000038,2.242199898,25.1121006,49,4320.678711,11.23799992,6.422018051,669.4000244,675.7000122,Aly Cissokho,5,MWR,Claudette,4,7,7,10,60,1
357,70995,Waugh Elementary,Sonoma,KK-06,734,36.0,2.024300098,12.82050037,117,4920.777344,16.95599937,6.539509296,676.0999756,669.2999878,Nicky Shorey,4,MWR,Isabel,1,5,4,6,44,5
358,70979,Two Rock Union Elementary,Sonoma,KK-06,189,11.60000038,2.07249999,32.12440109,50,6905.869141,17.70899963,14.2857151,679.0999756,667.0,Gareth Bale,4,MWR,Alex,3,1,3,5,20,1
359,68866,Belmont-Redwood Shores Elementary,San Mateo,KK-08,2528,138.3099976,1.342100024,2.445600033,482,5729.904297,25.62199974,3.678797483,675.0,671.5,Mitchell Langerak,1,MWR,Charley,4,3,3,5,75,6
360,61978,Rescue Union Elementary,El Dorado,KK-08,2987,154.1699982,2.042200089,11.18179989,290,4825.202148,18.72599983,0.502176106,676.0999756,670.5,Kevin Trapp,3,MWR,Frances,4,3,7,10,114,5
361,66779,Alta-Dutch Flat Union Elementary,Placer,KK-08,208,11.0,9.389699936,32.86380005,21,5388.17041,13.44299984,0.0,680.5,666.5999756,Albert Rafetraniaina,2,MWR,Gaston,1,1,9,13,28,1
362,68353,San Pasqual Union Elementary,San Diego,KK-08,379,23.10000038,2.902400017,22.16360092,29,5133.827148,15.18000031,22.69129372,670.5,676.5999756,Samed Yesil,2,MWR,Ivan,2,1,4,6,29,6
363,61911,Latrobe Elementary,El Dorado,KK-08,145,9.300000191,6.20690012,0.0,27,5346.15625,19.11700058,0.0,670.5,677.2999878,Assani Lukimya,3,MWR,Jeanne,1,1,7,10,14,6
364,66407,Union Hill Elementary,Nevada,KK-08,706,37.74000168,2.593699932,23.05480003,103,4789.309082,13.71199989,0.1416430622,676.0,672.5, Pedro,2,MWR,Cindy,4,11,3,5,18,5
365,70961,Twin Hills Union Elementary,Sonoma,KK-08,878,47.90000153,1.375,15.75,105,5329.782227,17.50799942,2.733485222,681.0,669.7999878,Ludovic Obraniak,4,MWR,Dennis,3,10,3,5,26,4
366,62976,Pacific Union Elementary,Humboldt,KK-08,594,33.18000031,12.26889992,25.37820053,75,5371.172852,11.83399963,1.68350172,683.0,668.4000244,Martin Amedick,4,uri,Katrina,2,4,4,6,18,5
367,71696,Douglas City Elementary,Trinity,KK-08,139,7.349999905,20.86330032,66.90650177,40,5771.383789,13.27299976,0.0,680.0999756,672.2000122,Hajime Hosogai,1,MWR,Ophelia,2,6,3,5,23,6
368,66373,Pleasant Ridge Union Elementary,Nevada,KK-08,2089,102.7799988,2.51850009,14.0369997,318,4993.634766,16.3560009,0.1436093748,673.7999878,679.2999878,Ibrahima Traoré,2,MWR,Rita,4,1,7,10,97,3
369,66852,Newcastle Elementary,Placer,KK-08,326,16.28000069,4.294499874,11.04290009,42,4854.038086,18.62599945,0.0,673.2999878,679.9000244, Naldo,1,MWR,Wilma,3,22,3,5,13,5
370,72470,Mesa Union Elementary,Ventura,KK-08,516,21.5,0.9689999819,27.71319962,50,4392.679688,23.7329998,11.04651165,680.5,673.2000122,Ron Vlaar,4,MWR,Humberto,3,14,9,13,14,5
371,71787,Weaverville Elementary,Trinity,KK-08,449,25.5,12.72729969,48.48479843,50,5884.432129,12.93400002,0.0,672.7999878,681.0999756,Kyle Naughton,2,MWR,Dolly,2,1,3,5,15,5
372,70078,North Cow Creek Elementary,Shasta,KK-08,297,15.35000038,2.356899977,4.040400028,70,4273.993164,13.90600014,0.0,679.0,675.5, Júlio César,4,MWR,Gustav,1,1,7,10,24,5
373,66340,Nevada City Elementary,Nevada,KK-08,1579,80.23999786,5.555600166,21.78030014,165,5146.78418,15.42800045,0.06333122402,678.5,677.4000244,Ryan Dickson,4,MWR,Ike,4,1,7,10,122,5
374,62893,Jacoby Creek Elementary,Humboldt,KK-08,383,20.45000076,6.005199909,10.18280029,49,5351.522949,15.38099957,0.0,682.9000244,673.2000122,Steven Sidwell,3,MWR,Irene,1,1,4,6,29,6
375,70698,Fort Ross Elementary,Sonoma,KK-08,81,5.099999905,3.614500046,0.0,14,7667.571777,22.52899933,0.0,685.2999878,671.5, Tiago,4,MWR,Isaac,4,3,9,13,16,1
376,68080,Encinitas Union Elementary,San Diego,KK-06,5259,262.230011,2.395900011,19.09110069,701,5281.708984,23.80609894,15.05989742,679.0,678.5999756,Romain Genevois,3,MWR,Sandy,4,1,7,10,17,5
377,65318,Dixie Elementary,Marin,KK-08,1960,108.9599991,1.941699982,3.730200052,223,5368.50293,24.60300064,1.479591846,684.0999756,674.7000122,Luis Suárez,1,MWR,Easy,1,2,4,6,22,5
378,69492,Lakeside Joint Elementary,Santa Clara,KK-06,151,8.899999619,2.648999929,8.60929966,31,6429.257324,36.17399979,2.649006605,676.7999878,682.2000122,Grégory Sertić,4,MWR,King,3,6,7,10,26,5
379,64600,Hermosa Beach City Elementary,Los Angeles,KK-08,946,49.16999817,2.17840004,6.535299778,310,5387.458984,33.45500183,1.47991538,683.0999756,676.2000122,Christian Schulz,4,MWR,Able,2,1,3,5,98,6
380,70896,Rincon Valley Union Elementary,Sonoma,KK-06,2707,141.0200043,5.1395998,19.23080063,300,5235.774902,20.4802227,4.469892979,678.7000122,680.7999878, David Navarro,3,MWR,Barbara,4,7,4,6,80,3
381,66233,Washington Union Elementary,Monterey,KK-08,919,46.88999939,1.049299955,0.0,141,4829.896484,20.13400078,0.3264417946,680.2000122,679.4000244, Ramires,2,MWR,Florence,3,4,4,6,45,2
